东经,北纬,测试数据 
116.16639,40.109718,4.76
116.18093,40.10824,4.94
116.227223,40.13253,4.98
116.192686,40.113229,4.8
116.217367,40.066464,5.29
115.6287,39.9424,5.3
115.88163,39.56119,4.24
116.1802,39.65274,4.76
116.18155,39.68271,4.74
115.7884,39.5113,5.17
115.83356,39.5507,5.14
115.80552,39.54827,5.32
115.74685,39.52907,5.18
116.10106,39.62818,5.02
116.14936,39.63233,5.08
116.17086,39.67168,4.58
116.14363,39.69345,4.84
116.15239,39.65547,5.03
116.19062,39.59805,5.29
116.12408,39.60569,4.72
116.16483,39.59421,4.6
116.03201,39.59203,4.57
116.14397,39.62678,4.89
116.12877,39.58797,5.42
116.03573,39.58045,4.66
116.07087,39.75022,4.93
116.02055,39.66568,4.21
115.9391,39.64853,4.42
115.77988,39.53164,4.72
116.08909,39.63209,4.5
116.87632,39.7309,4.52
116.84922,39.7215,4.62
116.80319,39.73372,4.68
116.85515,39.72714,4.66
116.80073,39.86362,4.64
116.75925,39.8832,4.64
116.58777,39.71709,4.88
116.758,39.64155,4.7
116.6688,39.74825,4.74
116.65543,39.75263,4.92
116.74726,39.92191,5.34
116.74319,39.95333,4.78
116.84149,39.81943,5.14
116.91348,39.78687,5.34
116.84039,39.65604,4.86
116.85191,39.66953,5.04
116.72819,39.77292,5.14
116.72365,39.76151,5.24
116.70774,39.76696,5.14
116.705758,40.046884,5.17
116.706917,40.026099,4.76
116.669806,40.063171,4.79
116.789927,40.0902,4.82
116.762638,40.053545,4.62
116.776305,40.182818,4.14
116.862214,40.240003,4.51
116.760257,40.224163,4.69
116.803298,40.218437,3.54
116.826666,40.0625,4.89
116.835131,40.086869,4.58
116.80027,40.05468,4.34
116.768885,40.166515,4.46
116.604482,40.253787,5.05
116.510475,40.204557,4.47
116.571428,40.213149,4.76
116.856392,40.086023,4.54
116.875951,40.156525,4.63
116.828902,40.131225,3.69
116.811895,40.112152,4.41
116.801258,40.100538,4.48
116.87188,40.10328,4.48
116.35828,39.6524,4.66
116.35536,39.56437,5.61
116.353695,39.550519,5.36
116.4453,39.7151,5.1
116.463,39.5996,5.45
116.26785,39.54066,5.28
116.352184,39.631824,5.71
116.257927,39.657888,5.59
116.71785,40.33484,4.58
116.80119,40.81039,5.07
116.57245,40.33846,4.11
116.59638,40.34364,4.56
116.64015,40.64485,5.4
116.56657,40.28376,3.02
116.70215,40.25882,4.53
116.67813,40.23796,4.77
117.01186,40.15972,4.22
117.03994,40.15538,5.18
117.06567,40.06921,4.42
117.08244,40.07621,4.31
116.98373,40.08823,4.9
117.15586,40.18551,5.1
117.0638,40.17443,4.7
116.912114,40.564527,5.09
117.03421,40.62362,4.48
117.22925,40.424015,5.33
117.194373,40.399475,4.22
116.887671,40.269448,4.31
116.968838,40.33575,3.94
116.944601,40.29784,4.14
116.971286,40.298426,3.76
116.911117,40.264484,4.17
116.89183,40.612935,3.72
116.857214,40.600589,2.05
117.128312,40.598187,4.56
117.139074,40.674173,4.3
116.764089,40.290129,2.98
116.800726,40.313397,3.32
116.761312,40.308257,4.46
116.806309,40.318899,4.3
116.773317,40.281494,2.42
116.92858,40.375336,3.52
116.934728,40.415827,5.28
116.771577,40.354134,5.46
116.765476,40.361451,4.9
117.106473,40.556249,3.06
117.104799,40.540212,3.73
117.023945,40.477527,4.56
116.785658,40.395824,5.45
116.764008,40.425338,5.22
116.842865,40.457009,4.18
117.450729,40.670515,4.42
116.04389,40.53686,5.06
115.904194,40.424822,5.11
115.869908,40.402942,5.27
116.262945,40.59823,5.08
116.07127,40.49797,4.72
116.04196,40.46915,5.27
117.2412,38.88253,5.58
116.93821,39.0627,4.19
116.88601,39.07787,5.14
116.96671,39.07231,5.73
116.99091,39.15345,5.66
116.97432,39.13334,5.22
117.2469,39.3274,5.73
117.227,39.3347,5.56
117.216,39.3486,5.76
117.2001,39.3366,5.53
117.2502,39.3406,5.42
117.262,39.3204,5.77
117.234,39.3501,5.26
117.0592,39.2158,5.61
117.093,39.2674,5.07
116.9886,39.2278,5.16
117.0242,39.2862,5.26
117.0466,39.2698,5.31
117.0369,39.2318,5.48
116.9438,39.1849,5.3
116.9805,39.2101,5.32
117.3854,39.241,5.33
117.2815,39.3423,5.35
117.3192,39.306,5.8
117.291,39.3052,5.65
117.3151,39.313,5.86
117.2817,39.3175,5.87
117.118374,39.551444,5.18
116.845723,39.649337,5.44
117.59935,39.57638,5.08
117.52955,39.52709,5.17
117.5653,39.58114,5.01
117.52589,39.57424,4.83
117.21013,39.58861,5.3
117.19586,39.63747,5.46
117.57387,39.65273,5.14
117.62406,39.61995,5.06
117.43141,39.72891,5.33
117.46479,39.71596,5.27
117.39971,39.71416,5.31
117.33198,39.77312,5.08
117.32888,39.58168,5.56
117.32929,39.62157,5.29
117.48259,39.51691,5.22
117.42008,39.56313,5.05
117.39609,39.59786,5.45
117.50635,39.622,5.2
117.46401,39.60339,5.34
117.24238,39.78519,5.14
117.23579,39.80926,5.54
117.28453,39.51844,5.72
117.22957,39.74055,5.49
117.5049,39.70736,5.07
117.49419,39.68692,4.96
117.45263,39.65514,5.27
117.40566,39.65172,5.63
117.17914,39.65133,5.68
117.167,39.67253,5.75
117.67027,39.17542,5.05
117.69406,39.16725,4.89
117.6138,39.17221,5.04
117.61291,39.19415,4.93
117.75174,39.23124,5.49
117.70459,39.28096,5.32
117.75301,39.27233,5.34
117.409096,38.60011,5.56
117.335164,38.674298,4.86
117.371948,38.653438,5.62
117.389269,38.615442,4.53
117.54692,39.03949,5.55
117.58885,38.98424,5.51
117.55961,39.12772,6.13
117.239964,38.621581,5.96
117.289879,38.600529,5.4
117.289197,38.675761,5.42
117.362868,38.575183,5.33
117.313074,38.597115,5.26
117.358136,38.631204,5
117.308845,38.629168,4.71
117.347764,38.591525,5.08
117.263232,38.579774,4.91
117.150028,38.687153,5.31
117.173845,38.633617,5.26
117.160908,38.616337,4.31
117.153559,38.711111,5.91
117.195589,38.632742,5.42
117.18898,38.719351,5.24
117.210168,38.676435,4.89
117.233958,38.682502,4.94
117.62641,39.01669,5.9
117.84763,39.29646,4.86
117.9406,39.28514,6.09
117.99627,39.27623,6.09
117.95399,39.30651,6.27
117.85767,39.32026,4.87
117.92668,39.31519,4.71
117.228428,38.815806,5.55
117.402162,38.874292,4.64
117.276693,38.821481,4.83
117.230941,38.775152,5.42
117.308733,38.821163,4.73
117.242319,38.751586,4.64
117.28195,38.798645,4.37
117.263203,38.795697,5.18
117.84263,39.4909,5.07
117.61382,39.33458,5.73
117.72299,39.33973,5.28
117.56862,39.41372,5.83
117.56126,39.27264,5.79
117.36997,39.35181,5.3
117.47598,39.34544,5.57
117.44682,39.33171,4.68
117.45418,39.30892,5.63
117.6678,39.32289,5.56
117.50889,39.2655,5.72
117.48503,39.22593,5.33
117.44375,39.2668,5.39
117.2069,39.99852,5.07
117.30395,40.01067,4.76
117.50339,39.9434,5.21
117.7175,40.06188,4.11
117.66065,40.061,4.54
117.31431,39.93481,5.29
117.32576,39.9059,5.76
117.36104,39.94114,4.78
117.32973,40.04792,5.28
117.29377,39.81707,5.14
117.44586,39.93462,4.6
117.37269,40.11736,4.71
117.58981,40.1044,4.53
117.19426,39.9088,5.17
117.15911,39.91324,5.37
117.18056,39.96166,4.89
117.63255,40.11077,3.34
117.7385,40.00968,4.22
117.5341,39.79832,4.63
117.4431,39.78327,5.23
117.38358,39.81317,5.15
117.25222,39.91241,5.28
117.48355,39.90494,5.06
117.4948,39.86301,5.21
117.49982,39.84296,5.08
117.44157,39.85594,4.45
117.4329,39.88686,4.49
117.34107,39.98945,4.88
117.27657,39.90048,4.97
117.21072,39.89046,5.01
118.4101,39.69639,4.8
118.37553,39.7531,5
118.287392,39.6762,4.4
118.209233,39.735413,4.6
118.18721,39.52441,4.2
118.12797,39.52524,3.6
118.12007,39.47658,4.3
118.13412,39.4453,4.2
118.16235,39.49334,3.6
118.19111,39.45085,3.4
118.24376,39.49354,4.8
118.25787,39.52754,4.9
117.95151,39.46237,5.3
118.00759,39.47962,3.6
118.05277,39.47178,4
117.99486,39.44277,3.8
118.13076,39.37044,5.2
118.05161,39.35074,4.3
117.94021,39.53639,3.4
118.184009,39.940986,4.96
117.951333,39.887062,3.67
117.954581,39.849985,5.06
118.145308,39.872685,4.58
118.06856,39.87494,3.65
118.04919,39.84104,5.24
118.05659,39.76993,5.04
118.12106,39.78722,3.51
117.898,39.67017,5.02
117.96202,39.65601,3.99
118.0229,39.63311,4.69
118.205927,39.879258,4.84
118.01877,39.6762,3.33
118.235584,40.000085,4.36
118.005322,39.89326,4.24
117.95457,39.76341,4
118.213792,39.775331,3.57
117.86026,39.62076,5.21
118.299925,39.291823,4.93
118.303627,39.277205,4.92
118.34937,39.25038,5.6
118.273053,39.185967,4.9
118.251294,39.181085,4.73
118.444078,39.25979,4.94
118.412717,39.252467,5.54
118.47734,39.2013,4.7
118.45492,39.21192,4.84
118.507665,39.274006,4.5
118.489887,39.25737,5.09
118.509333,39.245948,4.83
118.487438,39.246137,5.13
118.511323,39.21418,4.9
118.21598,39.41101,5.01
118.22231,39.39978,4.84
118.26971,39.3826,5.28
118.25112,39.36296,4.86
118.25363,39.34569,4.93
118.23613,39.3487,5.17
118.268455,39.359441,5.04
118.28133,39.35664,5.01
118.296921,39.372006,5.03
118.427832,39.307487,5.47
118.41261,39.36533,4.86
118.67063,39.2516,5.1
118.283165,39.333376,5.02
118.364371,39.310699,4.92
118.557408,39.775432,5.14
118.645686,39.810198,3.92
118.356752,39.909711,4.9
118.736971,39.64763,3.01
118.584147,39.747018,5.15
118.61756,39.740997,2.65
118.693321,39.829387,1.95
118.35062,39.838987,4.76
118.513308,39.830653,2.19
118.763301,39.84965,3.95
118.610446,39.690173,1.73
118.500819,39.627974,2.6
118.642979,39.840991,1.67
118.70735,39.4967,5.45
118.54623,39.39419,4.91
118.60344,39.42523,4.74
118.55455,39.42543,3.56
118.5861,39.43985,2.57
118.63483,39.46786,2.75
118.71142,39.595,4.64
118.55189,39.33253,4.84
118.46334,39.38579,2.74
118.48149,39.47368,3.56
118.54911,39.50662,5.34
118.6965,39.5375,5.28
118.48621,39.54381,3.2
118.54772,39.57011,2.14
118.59804,39.58447,5.34
118.94454,39.39042,4.11
118.75816,39.24028,5.31
118.79945,39.23034,4.99
118.82702,39.2332,4.84
118.83742,39.42417,4.16
118.78855,39.39547,2.4
118.7545,39.31777,4.3
118.92344,39.47397,4.62
118.83742,39.33139,3.37
118.89078,39.31007,4.49
118.99469,39.4416,4.72
119.04641,39.35439,4.08
118.95699,39.30356,3.66
119.07785,39.43088,5.03
118.37555,40.26812,4
118.379322,40.174138,3.1
118.518416,40.281989,3.5
118.50033,40.28078,2.9
118.516833,40.268063,5.1
118.183378,40.334245,3.4
118.273722,40.081653,3
117.786138,39.867445,4
117.81045,39.804638,5
117.776042,39.801823,5
117.82033,39.76492,4.7
117.60877,39.90635,5.3
117.84713,39.94242,2.4
117.780013,39.916353,4.7
117.54173,39.94309,5.2
117.7192,39.9196,5.1
117.627751,39.801995,4.1
117.83809,39.87033,4.3
117.7675,39.768567,3.7
117.7416,39.74286,5.3
117.65012,39.71686,3.4
117.791945,39.689798,4.2
117.71989,39.67588,4.9
117.66978,39.61059,4.6
117.903501,40.186971,4
118.089259,40.199209,3.7
117.958784,40.257171,5
118.015481,40.121748,3
117.769469,40.128768,5
118.046708,40.183618,4.4
117.847334,40.138987,2.8
117.956597,40.153047,4.9
118.071,40.038149,4.9
117.812457,40.071005,3
117.883618,40.030531,5.1
117.807602,40.202687,2.4
117.944494,40.089236,3.1
118.606022,40.123,3.8
118.577924,40.05087,2.7
118.507531,40.012771,4.8
118.596412,40.009898,3.6
118.600095,39.924534,3.7
118.65754,39.92145,5.3
118.56147,39.892766,5.2
118.732867,40.083022,4.5
118.8151,39.98249,1.4
118.844224,40.076122,3.1
118.718545,40.186097,3.4
119.023294,40.476793,5.2
119.05452,40.456204,2.5
118.72692,40.34789,2.9
118.71691,40.34346,2.8
118.73319,40.34177,3.5
118.74363,40.34248,2.8
118.75837,40.23749,3.41
