data,CO,O3,SO2,NO2,PM10,PM2.5,AQI
2020-01-01,0.9,26,13,34,120,86,114
2020-01-02,1,37,11,36,167,122,160
2020-01-03,1.2,76,13,42,221,172,222
2020-01-04,1.3,94,15,42,236,190,240
2020-01-05,1.3,68,9,24,133,122,160
2020-01-06,1.7,32,8,44,82,82,109
2020-01-07,1.3,56,9,26,52,56,77
2020-01-08,1.1,53,10,30,85,78,104
2020-01-09,1.1,62,12,28,133,117,153
2020-01-10,1.1,42,10,35,168,138,183
2020-01-11,1.8,89,14,35,258,218,268
2020-01-12,2.3,31,11,39,278,208,258
2020-01-13,1.7,64,11,36,270,214,264
2020-01-14,1.4,94,13,35,242,182,232
2020-01-15,0.9,62,11,30,181,138,183
2020-01-16,1,48,9,32,192,156,206
2020-01-17,1.1,75,10,34,182,144,192
2020-01-18,1.3,58,10,32,178,144,192
2020-01-19,1,84,14,31,130,85,113
2020-01-20,1.2,70,14,44,154,103,135
2020-01-21,1.5,44,11,40,230,184,234
2020-01-22,1.8,57,9,28,242,190,240
2020-01-23,1.4,71,8,21,136,110,144
2020-01-24,2,48,8,20,256,222,272
2020-01-25,1.2,58,12,16,168,147,196
2020-01-26,1.4,67,12,17,183,170,220
2020-01-27,1.3,72,10,15,164,150,200
2020-01-28,1.2,92,12,18,109,100,132
2020-01-29,1.3,84,11,16,131,122,160
2020-01-30,1.3,110,12,18,145,133,176
2020-01-31,1.2,110,12,16,143,131,173
2020-02-01,1.1,96,12,17,119,110,144
2020-02-02,1.3,96,12,18,146,133,176
2020-02-03,1.2,96,12,18,139,123,162
2020-02-04,1.4,108,10,17,187,166,216
2020-02-05,1,0,10,14,109,86,114
2020-02-06,0.7,56,8,9,41,30,43
2020-02-07,0.8,50,8,10,56,48,67
2020-02-08,0.9,76,9,10,58,54,74
2020-02-09,1,97,10,13,88,78,104
2020-02-10,0.9,97,10,12,70,62,84
2020-02-11,0.8,88,8,12,51,43,60
2020-02-12,0.9,73,6,13,80,73,98
2020-02-13,0.9,76,7,10,50,42,59
2020-02-14,1.1,44,6,12,78,57,78
2020-02-15,0.8,51,5,10,32,26,38
2020-02-16,0.6,79,8,12,38,21,40
2020-02-17,0.6,88,10,16,50,34,50
2020-02-18,0.6,95,8,13,49,34,49
2020-02-19,0.7,98,9,14,56,42,59
2020-02-20,0.8,100,8,18,92,72,97
2020-02-21,0.7,86,7,16,118,62,84
2020-02-22,0.6,92,8,17,100,44,75
2020-02-23,0.7,100,8,16,104,60,82
2020-02-24,0.9,48,8,24,140,95,125
2020-02-25,1,64,6,18,125,100,132
2020-02-26,0.8,31,5,20,102,78,104
2020-02-27,0.6,56,5,19,61,43,60
2020-02-28,0.6,69,6,14,43,38,54
2020-02-29,0.7,72,6,14,54,43,60
2020-03-01,0.8,76,6,14,77,56,77
2020-03-02,0.8,73,8,20,87,70,94
2020-03-03,0.8,72,9,28,103,72,97
2020-03-04,0.6,101,12,22,89,58,79
2020-03-05,0.6,108,11,21,88,64,87
2020-03-06,0.8,74,10,24,110,82,109
2020-03-07,1,114,9,24,142,110,144
2020-03-08,1,123,9,18,132,104,137
2020-03-09,1.1,70,6,18,126,108,142
2020-03-10,1.1,86,8,24,121,76,102
2020-03-11,0.6,94,8,24,138,52,94
