time,cityname,aqi,pm2_5,pm10,so2,no2,co,o3,primary_pollutant
2020-01-01,海口市,43,12,28,4,7,0.7,86,/
2020-01-02,海口市,42,11,27,3,8,0.6,83,/
2020-01-03,海口市,50,14,28,4,9,0.5,100,/
2020-01-04,海口市,48,12,27,4,9,0.5,95,/
2020-01-05,海口市,47,15,32,4,7,0.5,94,/
2020-01-06,海口市,41,15,40,4,10,0.6,82,/
2020-01-07,海口市,36,13,32,4,15,0.6,72,/
2020-01-08,海口市,66,16,30,4,11,0.6,119,O3
2020-01-09,海口市,57,17,42,4,12,0.7,108,O3
2020-01-10,海口市,44,15,37,4,12,0.7,88,/
2020-01-11,海口市,44,14,30,3,10,0.6,87,/
2020-01-12,海口市,44,22,41,4,15,1,88,/
2020-01-13,海口市,65,21,35,3,12,0.9,117,O3
2020-01-14,海口市,45,12,34,3,14,0.7,90,/
2020-01-15,海口市,44,12,30,3,12,0.6,87,/
2020-01-16,海口市,35,15,30,5,13,0.5,69,/
2020-01-17,海口市,44,22,38,3,10,0.9,88,/
2020-01-18,海口市,49,17,33,3,9,0.9,98,/
2020-01-19,海口市,57,20,31,3,10,0.8,108,O3
2020-01-20,海口市,46,20,34,3,8,0.8,92,/
2020-01-21,海口市,46,14,26,3,9,0.7,91,/
2020-01-22,海口市,46,17,33,3,8,0.7,92,/
2020-01-23,海口市,35,9,17,2,6,0.6,70,/
2020-01-24,海口市,32,8,18,3,4,0.5,64,/
2020-01-25,海口市,43,11,26,3,3,0.6,86,/
2020-01-26,海口市,25,7,12,3,8,1,48,/
2020-01-27,海口市,31,12,19,3,7,1.2,53,/
2020-01-28,海口市,41,13,18,3,4,0.8,81,/
2020-01-29,海口市,47,22,26,4,5,0.7,94,/
2020-01-30,海口市,54,26,34,4,6,0.6,104,O3
2020-01-31,海口市,65,20,28,4,7,0.4,118,O3
2020-02-01,海口市,54,22,33,3,4,0.5,104,O3
2020-02-02,海口市,46,18,31,3,5,0.5,92,/
2020-02-03,海口市,42,15,27,3,6,0.5,83,/
2020-02-04,海口市,41,15,29,3,5,0.5,82,/
2020-02-05,海口市,38,14,29,3,5,0.6,76,/
2020-02-06,海口市,42,10,25,2,4,0.5,83,/
2020-02-07,海口市,45,16,40,3,3,0.5,89,/
2020-02-08,海口市,44,12,24,3,4,0.6,88,/
2020-02-09,海口市,41,10,20,3,3,0.6,82,/
2020-02-10,海口市,40,16,22,2,4,0.7,80,/
2020-02-11,海口市,46,17,28,2,4,0.6,92,/
2020-02-12,海口市,37,13,23,4,5,0.5,73,/
2020-02-13,海口市,30,10,18,3,4,0.5,60,/
2020-02-14,海口市,30,10,20,2,4,0.5,60,/
2020-02-15,海口市,34,11,22,3,6,0.5,67,/
2020-02-16,海口市,30,6,14,3,6,0.6,60,/
2020-02-17,海口市,46,6,16,3,4,0.5,92,/
2020-02-18,海口市,54,13,26,4,5,0.5,104,O3
2020-02-19,海口市,49,18,34,3,4,0.5,98,/
2020-02-20,海口市,45,16,32,3,4,0.5,90,/
2020-02-21,海口市,46,16,37,3,4,0.5,92,/
2020-02-22,海口市,57,14,30,4,4,0.5,108,O3
2020-02-23,海口市,54,21,38,4,6,0.5,104,O3
2020-02-24,海口市,53,22,55,3,5,0.6,100,PM10
2020-02-25,海口市,47,18,47,3,6,0.5,80,/
2020-02-26,海口市,37,13,28,3,6,0.5,74,/
2020-02-27,海口市,39,11,22,3,4,0.5,77,/
2020-02-28,海口市,44,12,34,3,5,0.5,87,/
2020-02-29,海口市,36,14,36,3,8,0.5,72,/
2020-03-01,海口市,25,10,21,3,9,0.5,50,/
2020-03-02,海口市,28,7,17,3,7,0.4,55,/
2020-03-03,海口市,35,9,25,3,7,0.5,69,/
2020-03-04,海口市,38,10,20,3,7,0.5,76,/
2020-03-05,海口市,39,6,16,3,8,0.6,78,/
2020-03-06,海口市,35,8,17,3,8,0.5,69,/
2020-03-07,海口市,35,9,19,3,10,0.5,69,/
2020-03-08,海口市,36,12,24,3,9,0.5,71,/
2020-03-09,海口市,52,22,39,4,19,0.6,102,O3
2020-03-10,海口市,46,16,26,4,12,0.7,92,/
2020-03-11,海口市,50,17,41,4,12,0.7,100,/
2020-03-12,海口市,24,12,23,3,8,0.4,48,/
2020-03-13,海口市,24,11,20,3,10,0.4,47,/
2020-03-14,海口市,42,9,21,3,10,0.7,84,/
2020-03-15,海口市,46,14,32,3,8,0.8,92,/
2020-03-16,海口市,44,18,39,3,9,0.8,88,/
2020-03-17,海口市,42,16,41,3,10,0.6,83,/
2020-03-18,海口市,39,16,38,3,10,0.5,78,/
2020-03-19,海口市,35,17,34,3,14,0.6,70,/
2020-03-20,海口市,29,13,28,3,12,0.6,58,/
2020-03-21,海口市,31,9,20,3,8,0.5,62,/
2020-03-22,海口市,35,10,25,3,11,0.5,70,/
2020-03-23,海口市,42,19,30,4,11,0.6,84,/
2020-03-24,海口市,26,10,21,3,6,0.6,52,/
2020-03-25,海口市,28,11,26,3,6,0.5,56,/
2020-03-26,海口市,30,14,29,3,8,0.5,60,/
2020-03-27,海口市,34,12,24,3,7,0.5,67,/
2020-03-28,海口市,30,10,22,3,8,0.5,60,/
2020-03-29,海口市,27,12,23,3,5,0.5,54,/
2020-03-30,海口市,32,14,32,4,19,0.6,56,/
2020-03-31,海口市,52,34,54,4,23,0.8,58,PM10
2020-04-01,海口市,42,18,42,3,15,0.7,61,/
2020-04-02,海口市,24,8,20,3,6,0.5,48,/
2020-04-03,海口市,32,12,26,3,6,0.5,63,/
2020-04-04,海口市,43,14,30,3,10,0.8,86,/
2020-04-05,海口市,42,8,20,3,7,0.8,84,/
2020-04-06,海口市,45,10,19,4,11,0.8,90,/
2020-04-07,海口市,25,8,16,3,14,0.9,49,/
2020-04-08,海口市,44,16,32,4,12,0.8,88,/
2020-04-09,海口市,53,11,29,4,8,0.6,103,O3
2020-04-10,海口市,45,16,38,3,10,0.6,90,/
2020-04-11,海口市,46,20,41,3,14,0.7,91,/
2020-04-12,海口市,64,10,26,4,8,0.7,116,O3
2020-04-13,海口市,84,14,35,5,8,0.6,140,O3
2020-04-14,海口市,67,14,33,4,10,0.5,120,O3
2020-04-15,海口市,69,18,36,4,10,0.6,122,O3
2020-04-16,海口市,48,17,31,3,11,0.5,96,/
2020-04-17,海口市,41,17,35,3,9,0.5,81,/
2020-04-18,海口市,33,17,33,3,10,0.5,63,/
2020-04-19,海口市,35,12,26,3,9,0.4,70,/
2020-04-20,海口市,46,16,30,4,11,0.5,92,/
2020-04-21,海口市,35,12,28,3,10,0.5,70,/
2020-04-22,海口市,42,10,21,3,5,0.4,83,/
2020-04-23,海口市,38,6,19,3,9,0.7,76,/
2020-04-24,海口市,31,7,14,3,9,0.8,61,/
2020-04-25,海口市,50,13,22,4,8,0.7,100,/
2020-04-26,海口市,46,23,33,6,12,0.7,92,/
2020-04-27,海口市,74,35,50,7,18,0.7,128,O3
2020-04-28,海口市,104,33,51,5,16,0.7,164,O3
2020-04-29,海口市,44,15,40,4,9,0.5,88,/
2020-04-30,海口市,41,16,41,3,10,0.5,70,/
2020-05-01,海口市,32,14,30,3,8,0.5,64,/
2020-05-02,海口市,36,13,29,3,8,0.5,72,/
2020-05-03,海口市,39,13,31,4,11,0.5,77,/
2020-05-04,海口市,54,16,32,4,11,0.5,104,O3
2020-05-05,海口市,47,12,32,4,12,0.5,94,/
2020-05-06,海口市,45,12,34,4,16,0.4,90,/
2020-05-07,海口市,38,13,28,4,13,0.4,76,/
2020-05-08,海口市,37,10,27,4,10,0.4,74,/
2020-05-09,海口市,57,16,36,4,12,0.5,108,O3
2020-05-10,海口市,51,16,51,4,16,0.5,94,PM10
2020-05-11,海口市,52,15,54,4,14,0.6,88,PM10
2020-05-12,海口市,42,9,22,4,15,0.6,84,/
2020-05-13,海口市,30,9,19,3,12,0.5,60,/
2020-05-14,海口市,33,6,19,4,9,0.5,66,/
2020-05-15,海口市,33,9,21,4,7,0.5,66,/
2020-05-16,海口市,38,10,23,4,7,0.5,76,/
2020-05-17,海口市,38,9,24,4,11,0.5,75,/
2020-05-18,海口市,43,12,30,4,16,0.7,86,/
2020-05-19,海口市,54,15,30,4,19,0.6,104,O3
2020-05-20,海口市,44,18,30,4,17,0.6,88,/
2020-05-21,海口市,47,16,35,4,13,0.5,94,/
2020-05-22,海口市,46,18,36,5,14,0.6,92,/
2020-05-23,海口市,52,18,35,5,12,0.7,102,O3
2020-05-24,海口市,47,16,29,4,11,0.6,94,/
2020-05-25,海口市,50,11,24,4,11,0.6,100,/
2020-05-26,海口市,48,13,32,4,17,0.6,96,/
2020-05-27,海口市,61,16,36,6,12,0.8,113,O3
2020-05-28,海口市,74,25,46,6,17,0.8,128,O3
2020-05-29,海口市,46,16,31,4,14,0.6,92,/
2020-05-30,海口市,39,9,22,4,13,0.6,78,/
2020-05-31,海口市,32,8,20,4,12,0.5,64,/
2020-06-01,海口市,32,10,21,4,13,0.6,64,/
2020-06-02,海口市,30,8,20,4,8,0.6,59,/
2020-06-03,海口市,27,7,20,4,10,0.5,53,/
2020-06-04,海口市,31,7,20,4,11,0.5,62,/
2020-06-05,海口市,35,11,22,4,12,0.6,70,/
2020-06-06,海口市,37,8,20,4,12,0.6,73,/
2020-06-07,海口市,40,10,22,4,10,0.6,79,/
2020-06-08,海口市,33,12,26,4,12,0.6,66,/
2020-06-09,海口市,34,11,22,4,14,0.6,67,/
2020-06-10,海口市,37,10,22,3,11,0.5,74,/
2020-06-11,海口市,35,7,20,4,11,0.4,70,/
2020-06-12,海口市,33,6,18,4,10,0.4,65,/
